Frame#,sedan#,SUV#,Frame#,Frame_time#,FPS
138,1,0,138,0.08421635627746582,6.875885326112006
139,1,0,139,0.08375406265258789,6.893615903259178
140,1,0,140,0.08222198486328125,6.911530174682867
141,1,0,141,0.08864474296569824,6.926482308746295
142,1,0,142,0.0809173583984375,6.946309549217945
143,1,0,143,0.08375978469848633,6.9620570077900314
144,1,0,144,0.08309578895568848,6.978840533122698
145,1,0,145,0.07945609092712402,6.996582595497184
146,1,0,146,0.08451128005981445,7.011223230577125
147,1,0,147,0.08028936386108398,7.0294199254615215
148,1,0,148,0.07888674736022949,7.0456758957946795
149,1,0,149,0.08168840408325195,7.0605259179907405
150,1,0,150,0.08178544044494629,7.076590878583433
151,1,0,151,0.0818171501159668,7.092341337394232
152,1,0,152,0.0826869010925293,7.107861116746615
153,1,0,153,0.08038496971130371,7.124889534145524
154,1,0,154,0.08973312377929688,7.137015774479682
155,1,0,155,0.08557724952697754,7.14919661520352
156,1,0,156,0.08423233032226562,7.165370255200232
157,1,0,157,0.0877680778503418,7.179545392523484
158,1,0,158,0.08174562454223633,7.196051634051463
159,1,0,159,0.07909941673278809,7.2108571583778485
160,1,0,160,0.08772420883178711,7.222500919644093
161,1,0,161,0.08393740653991699,7.237636747416282
162,1,0,162,0.08261704444885254,7.252294579562401
163,1,0,163,0.08256006240844727,7.2665451833704005
164,1,0,164,0.08860254287719727,7.2783212224055776
165,1,0,165,0.08251738548278809,7.293716096060809
166,1,0,166,0.08261895179748535,7.307746891498576
167,1,0,167,0.07864785194396973,7.322575374935964
168,1,0,168,0.09347677230834961,7.332002845883521
169,1,0,169,0.08111739158630371,7.344253424719984
170,2,0,170,0.14374375343322754,7.337415197192453
171,2,0,171,0.1417696475982666,7.331615209271136
172,2,0,172,0.16640591621398926,7.317457102411282
173,2,0,173,0.14829158782958984,7.3082928550918655
174,2,0,174,0.15497994422912598,7.300272471496225
175,2,0,175,0.14380335807800293,7.293295903454036
176,1,0,176,0.07841634750366211,7.307445526184976
177,1,0,177,0.08140397071838379,7.31935018360197
178,0,0,178,0.020946025848388672,7.3504670203042854
179,1,0,179,0.08458828926086426,7.362334949536144
180,1,0,180,0.0836036205291748,7.376279889699135
181,1,0,181,0.0830693244934082,7.388764617445313
182,1,0,182,0.08179211616516113,7.402085964202825
183,1,0,183,0.08520817756652832,7.41368292922088
184,1,0,184,0.08046770095825195,7.427301562199883
185,1,0,185,0.08160543441772461,7.440193789053955
186,1,0,186,0.07995867729187012,7.45344358761102
187,1,0,187,0.08481979370117188,7.463730673514812
188,0,0,188,0.018832683563232422,7.4951900386267
189,0,0,189,0.023860931396484375,7.524220172347096
190,1,0,190,0.07977628707885742,7.537716021359608
191,0,0,191,0.01885390281677246,7.567350831091083
192,1,0,192,0.07882142066955566,7.579362112639235
193,1,0,193,0.09198403358459473,7.586819900619771
194,2,0,194,0.14055895805358887,7.57864606191113
195,0,0,195,0.020956754684448242,7.606769274484385
196,1,0,196,0.08523058891296387,7.617834283470417
197,2,0,197,0.14275503158569336,7.611824550293614
198,2,0,198,0.1532137393951416,7.6017996941182355
199,2,0,199,0.16320180892944336,7.5873571575184755
200,2,0,200,0.15134453773498535,7.5789375918189545
201,2,0,201,0.14790749549865723,7.5730767751009775
202,2,0,202,0.14702725410461426,7.565629801549619
203,2,0,203,0.14284825325012207,7.560013870146318
204,2,0,204,0.13970446586608887,7.553950929257126
205,2,0,205,0.1466231346130371,7.544930950374867
206,2,0,206,0.1410515308380127,7.540051813395088
207,2,0,207,0.14491939544677734,7.532004874812586
208,2,0,208,0.15867376327514648,7.522082665193247
209,2,0,209,0.1415708065032959,7.516991281079551
210,2,0,210,0.31745266914367676,7.463778777612079
211,2,0,211,0.14317107200622559,7.4584826191791755
212,2,0,212,0.14718413352966309,7.451033302940981
213,2,0,213,0.14748620986938477,7.44489679673357
214,2,0,214,0.14721107482910156,7.439413076932507
215,2,0,215,0.14433646202087402,7.434511115845907
216,2,0,216,0.1425611972808838,7.429650186169404
217,2,0,217,0.14894747734069824,7.423061638277144
218,2,0,218,0.14196395874023438,7.419041507942591
219,2,0,219,0.156083345413208,7.409711249795327
220,2,0,220,0.14736461639404297,7.403132244353435
221,2,0,221,0.14615082740783691,7.397869160374448
222,2,0,222,0.1419990062713623,7.3934397526189475
223,2,0,223,0.15221095085144043,7.385345799254677
224,2,0,224,0.14560604095458984,7.381406571517761
225,2,0,225,0.1474447250366211,7.3758781037552215
226,2,0,226,0.14570283889770508,7.371198462655644
227,2,0,227,0.14645719528198242,7.366414244722101
228,2,0,228,0.14034295082092285,7.363277997819432
229,2,0,229,0.14933347702026367,7.3564928273139945
230,2,0,230,0.14318442344665527,7.353146200375015
231,2,0,231,0.14601397514343262,7.347643602132142
232,2,0,232,0.14023637771606445,7.344635273901351
233,2,0,233,0.15318059921264648,7.337354432466398
234,2,0,234,0.14561033248901367,7.334363297249474
235,2,0,235,0.14214587211608887,7.3307993573277
236,2,0,236,0.1456294059753418,7.325184409901635
237,2,0,237,0.13907313346862793,7.32227401025684
238,2,0,238,0.14452528953552246,7.316471670080282
239,2,0,239,0.1449112892150879,7.3116303619147365
240,2,0,240,0.14289069175720215,7.307315481607499
241,2,0,241,0.1418311595916748,7.303304205895429
242,2,0,242,0.1564943790435791,7.295990964031723
243,2,0,243,0.15185880661010742,7.289784885245503
244,2,0,244,0.16266798973083496,7.280411405597923
245,2,0,245,0.14391183853149414,7.277255380227217
246,1,0,246,0.07892203330993652,7.2871571578499825
247,1,0,247,0.08745741844177246,7.294691255836091
248,1,0,248,0.0801093578338623,7.305322468792369
249,1,0,249,0.07928276062011719,7.315165563575373
250,1,0,250,0.0826263427734375,7.3238900438089845
251,1,0,251,0.08222651481628418,7.333275095493212
252,1,0,252,0.0848853588104248,7.342017862873202
253,1,0,253,0.08226323127746582,7.351378729577563
254,1,0,254,0.08205604553222656,7.360826973752794
255,1,0,255,0.07987308502197266,7.370157852602179
256,1,0,256,0.08341097831726074,7.378129628007848
257,1,0,257,0.08066749572753906,7.387958267405778
258,1,0,258,0.08473062515258789,7.395594831651786
259,1,0,259,0.08422684669494629,7.404794533116217
260,1,0,260,0.08104658126831055,7.414468342948631
261,1,0,261,0.09850335121154785,7.4192074725276305
262,1,0,262,0.0930016040802002,7.425737653278349
263,1,0,263,0.16409587860107422,7.416150665473128
264,1,0,264,0.12587976455688477,7.416354490646293
265,1,0,265,0.12608599662780762,7.415524812923701
266,1,0,266,0.11508369445800781,7.4177567189319
267,1,0,267,0.10441923141479492,7.421782903940732
268,1,0,268,0.10350418090820312,7.427372769739277
269,1,0,269,0.10579633712768555,7.431618094158715
270,2,0,270,0.17363190650939941,7.422830067960923
271,2,0,271,0.17274022102355957,7.411937344340164
272,2,0,272,0.17005038261413574,7.402264669229726
273,2,0,273,0.16621041297912598,7.392737717941208
274,2,0,274,0.16949105262756348,7.384740973709447
275,2,0,275,0.18279695510864258,7.371659434653523
276,2,0,276,0.17051911354064941,7.360950407542396
277,2,0,277,0.1537482738494873,7.35377077516839
278,3,0,278,0.2227768898010254,7.336131711270052
279,2,0,279,0.16459035873413086,7.328703754675294
280,3,0,280,0.2288048267364502,7.30961318179919
281,3,0,281,0.23569321632385254,7.2894971524158585
282,3,0,282,0.23157787322998047,7.26866275315397
283,2,0,283,0.1563405990600586,7.264416718464153
284,2,0,284,0.17775535583496094,7.254158724954299
285,2,0,285,0.15709686279296875,7.249341259184
286,2,0,286,0.15641140937805176,7.242846291866617
287,2,0,287,0.19560766220092773,7.229767987056528
288,2,0,288,0.17903709411621094,7.2209319109972405
289,2,0,289,0.1970963478088379,7.208758481370416
290,2,0,290,0.17870569229125977,7.200535912246945
291,2,0,291,0.16816473007202148,7.193725413071827
292,2,0,292,0.17123031616210938,7.187308000047018
293,2,0,293,0.16819405555725098,7.179257849767035
294,3,0,294,0.2419731616973877,7.160413163654254
295,3,0,295,0.24873042106628418,7.140094922800402
296,3,0,296,0.22449946403503418,7.123029139849156
297,2,0,297,0.1676025390625,7.116774703961966
298,2,0,298,0.3125176429748535,7.086965539280529
299,2,0,299,0.1536722183227539,7.081824584075326
300,2,0,300,0.1601862907409668,7.075705631267516
301,2,0,301,0.15833568572998047,7.0708614870266935
302,2,0,302,0.17319369316101074,7.063083198769983
303,2,0,303,0.1553802490234375,7.058438350824629
304,2,0,304,0.15856313705444336,7.053084735633067
305,2,0,305,0.16333341598510742,7.047535167195125
306,3,0,306,0.2272474765777588,7.03205369449461
307,3,0,307,0.22899723052978516,7.016687481846285
308,2,0,308,0.15844345092773438,7.0133281427055785
309,3,0,309,0.24288272857666016,6.994987608944789
310,2,0,310,0.1621246337890625,6.990544062319043
311,2,0,311,0.1624438762664795,6.985990931113992
312,2,0,312,0.16906523704528809,6.980498749474498
313,2,0,313,0.16441035270690918,6.974592044026144
314,2,0,314,0.16008543968200684,6.970899531712593
315,2,0,315,0.16849303245544434,6.965379998097023
316,2,0,316,0.16869854927062988,6.959176132717436
317,2,0,317,0.18304705619812012,6.950293772430945
318,2,0,318,0.17574310302734375,6.9444279125137935
319,2,0,319,0.16420888900756836,6.939616580164473
320,2,0,320,0.17475390434265137,6.933503983141268
321,2,0,321,0.1735520362854004,6.926967029534074
322,2,0,322,0.1699519157409668,6.921136282496167
323,2,0,323,0.1582787036895752,6.916616361286461
324,2,0,324,0.16684651374816895,6.911351884996014
325,2,0,325,0.1625230312347412,6.907869944024743
326,1,0,326,0.09760522842407227,6.913751337471398
327,1,0,327,0.09087920188903809,6.919873451554679
328,1,0,328,0.09724950790405273,6.92413736747084
329,1,0,329,0.09614300727844238,6.929038652300024
330,2,0,330,0.15472030639648438,6.925791476471852
331,2,0,331,0.1572556495666504,6.921436550037792
332,2,0,332,0.1570289134979248,6.917418892442248
333,2,0,333,0.15811610221862793,6.91368524271137
334,2,0,334,0.1555311679840088,6.910080092748838
335,2,0,335,0.15561985969543457,6.905851169849922
336,2,0,336,0.15401697158813477,6.90236973911798
337,2,0,337,0.17299699783325195,6.89596520057069
338,2,0,338,0.18175625801086426,6.888524741271815
339,2,0,339,0.20108675956726074,6.877921815680851
340,2,0,340,0.1929912567138672,6.869034359998814
341,2,0,341,0.1774594783782959,6.863578568581282
342,2,0,342,0.1782536506652832,6.857451324735205
